Date,open_btc,high_btc,low_btc,close_btc,volume_btc,open_usdx,high_usdx,low_usdx,close_usdx,usd
2011-01-03,0.3,0.3,0.3,0.3,1425,79.14,79.53,78.99,79.13,USD
2011-01-04,0.3,0.3,0.3,0.3,1879,79.09,79.51,78.89,79.44,USD
2011-01-05,0.3,0.3,0.3,0.3,357,79.4,80.35,79.34,80.26,USD
2011-01-06,0.3,0.3,0.3,0.3,3456,80.19,80.94,80.15,80.79,USD
2011-01-07,0.3,0.3,0.3,0.3,42601,80.87,81.14,80.69,81.01,USD
2011-01-10,0.3,0.3,0.3,0.3,10356,81.16,81.31,80.81,80.88,USD
2011-01-11,0.3,0.3,0.3,0.3,4858,80.88,81.15,80.74,80.85,USD
2011-01-12,0.3,0.4,0.3,0.3,31360,80.75,80.85,79.99,80.03,USD
2011-01-13,0.3,0.4,0.3,0.3,20119,80.11,80.24,78.99,79.19,USD
2011-01-14,0.3,0.4,0.3,0.4,27131,79.2,79.41,78.81,79.16,USD
2011-01-17,0.4,0.4,0.3,0.3,18241,79.06,79.6,79.06,79.34,USD
2011-01-18,0.3,0.3,0.3,0.3,15672,79.4,79.5,78.64,78.96,USD
2011-01-19,0.3,0.3,0.3,0.3,7292,78.95,79.02,78.3,78.64,USD
2011-01-20,0.3,0.4,0.3,0.4,19882,78.73,79.17,78.44,78.82,USD
2011-01-21,0.4,0.4,0.4,0.4,8478,78.89,78.91,78.1,78.21,USD
2011-01-24,0.4,0.4,0.4,0.4,11062,78.08,78.51,77.81,78.05,USD
2011-01-25,0.4,0.4,0.4,0.4,2164,78.05,78.41,77.82,78.0,USD
2011-01-26,0.4,0.4,0.4,0.4,15565,77.97,78.06,77.69,77.9,USD
2011-01-27,0.4,0.4,0.4,0.4,27708,77.77,78.15,77.59,77.73,USD
2011-01-28,0.4,0.4,0.4,0.4,5325,77.78,78.28,77.61,78.13,USD
2011-01-31,0.5,0.9,0.5,0.5,63516,78.11,78.33,77.54,77.73,USD
2011-02-01,0.5,0.9,0.5,0.7,31562,77.61,77.67,76.94,77.07,USD
2011-02-02,0.7,0.8,0.7,0.7,5627,77.01,77.31,76.88,77.16,USD
2011-02-03,0.7,0.8,0.7,0.7,8525,77.08,77.89,77.02,77.75,USD
2011-02-04,0.7,0.9,0.7,0.8,42222,77.8,78.22,77.56,78.04,USD
2011-02-07,0.9,0.9,0.8,0.9,2264,78.14,78.35,77.85,78.03,USD
2011-02-08,0.9,0.9,0.9,0.9,7021,78.05,78.11,77.63,78.0,USD
2011-02-09,0.9,1.1,0.8,1.1,49633,78.02,78.09,77.5,77.64,USD
2011-02-10,1.1,1.1,0.8,1.0,26560,77.64,78.34,77.61,78.25,USD
2011-02-11,1.0,1.1,0.9,1.1,13299,78.22,78.7,78.12,78.46,USD
2011-02-14,1.0,1.1,1.0,1.1,7097,78.6,78.87,78.28,78.61,USD
2011-02-15,1.1,1.1,1.0,1.0,8617,78.61,78.74,78.3,78.57,USD
2011-02-16,1.0,1.0,1.0,1.0,7192,78.52,78.79,78.16,78.22,USD
2011-02-17,1.0,1.0,1.0,1.0,4010,78.2,78.35,77.93,78.0,USD
2011-02-18,1.0,1.0,0.8,0.9,36948,77.94,78.22,77.53,77.66,USD
2011-02-21,0.9,0.9,0.8,0.8,1700,77.58,77.82,77.54,77.69,USD
2011-02-22,0.8,0.9,0.8,0.9,12095,77.69,78.33,77.58,77.77,USD
